ranking,numReviews
1,17
2,201
3,70
4,51
5,184
6,58
7,201
8,39
9,33
10,60
11,123
12,11
13,0
14,18
15,16
16,46
17,21
18,24
19,48
20,44
21,59
22,31
23,13
24,35
25,25
26,13
27,14
28,14
29,16
30,44
31,12
32,51
33,41
34,22
35,44
36,80
37,34
38,113
39,33
40,113
41,23
42,7
43,11
44,94
45,20
46,5
47,0
48,0
49,0
50,0
51,53
52,33
53,113
54,9
55,100
56,11
57,19
58,60
59,17
60,17
61,0
62,10
63,1
64,7
65,17
66,20
67,11
68,32
69,11
70,17
71,16
72,17
73,111
74,69
75,12
76,58
77,21
78,14
79,50
80,2
81,0
82,1
83,13
84,49
85,134
86,0
87,13
88,27
89,44
90,24
91,32
92,59
93,30
94,16
95,21
96,11
97,53
98,28
99,13
100,20
101,100
102,15
103,10
104,45
105,3
106,18
107,30
108,14
109,8
110,2
111,4
112,34
113,0
114,18
115,1
116,23
117,11
118,0
119,0
120,11
121,100
122,10
123,13
124,6
125,14
126,60
127,13
128,9
129,8
130,42
131,15
132,23
133,1
134,16
135,22
136,0
137,13
138,19
139,1
140,12
141,91
142,36
143,0
144,9
145,11
146,27
147,24
148,12
149,31
150,100
151,19
152,30
153,108
154,1
155,13
156,13
157,38
158,8
159,90
160,8
161,110
162,4
163,17
164,17
165,184
166,0
167,40
168,0
169,9
170,9
171,3
172,25
173,22
174,26
175,18
176,17
177,29
178,1
179,16
180,0
181,30
182,9
183,0
184,0
185,7
186,9
187,17
188,32
189,17
190,6
191,8
192,11
193,9
194,14
195,1
196,15
197,2
198,0
199,0
200,0
201,0
202,13
203,34
204,24
205,14
206,3
207,29
208,3
209,1
210,8
211,250
212,19
213,113
214,19
215,13
216,0
217,8
218,11
219,7
220,1
221,102
222,10
223,6
224,6
225,17
226,15
227,0
228,16
229,0
230,10
231,10
232,9
233,0
234,7
235,11
236,11
237,11
238,40
239,10
240,44
241,2
242,8
243,201
244,12
245,24
246,6
247,4
248,49
249,18
250,5
251,1
252,83
253,57
254,0
255,1
256,1
257,10
258,9
259,5
260,73
261,11
262,5
263,33
264,11
265,3
266,0
267,5
268,34
269,16
270,3
271,7
272,1
273,14
274,5
275,12
276,6
277,10
278,37
279,1
280,0
281,3
282,0
283,16
284,0
285,1
286,0
287,4
288,0
289,2
290,0
291,0
292,0
293,3
294,31
295,1
296,2
297,1
298,16
299,0
300,0
301,4
302,2
303,0
304,0
305,7
306,51
307,0
308,19
309,0
310,1
311,51
312,2
313,1
314,0
315,0
316,1
317,0
318,17
319,0
320,0
321,0
322,0
323,0
324,1
325,2
326,2
327,0
328,1
329,19
330,9
331,4
332,1
333,0
334,0
335,1
336,31
337,1
338,0
339,2
340,10
341,2
342,1
343,0
344,1
345,0
346,0
347,1
348,3
349,9
350,0
351,0
352,0
353,0
354,0
355,7
356,34
357,0
358,16
359,1
360,0
361,0
362,0
363,0
364,0
365,0
366,0
367,0
368,0
369,0
370,0
371,0
372,0
373,83
374,0
375,0
376,0
377,0
378,0
379,0
380,0
381,5
382,3
383,0
384,3
385,1
386,0
387,60
388,0
389,0
390,0
391,0
392,0
393,19
394,0
395,5
396,0
397,3
398,0
399,0
400,0
401,0
402,0
403,0
404,0
405,0
406,0
407,0
408,0
409,0
410,57
411,2
412,0
413,0
414,0
415,0
416,0
417,1
418,0
419,0
420,0
421,0
422,1
423,0
424,0
425,89
426,2
427,0
428,0
429,1
430,0
431,0
432,0
433,0
434,0
435,0
436,0
437,0
438,0
439,1
440,17
441,1
442,0
443,0
444,0
445,0
446,0
447,0
448,0
449,3
450,0
451,0
452,0
453,4
454,0
455,0
456,0
457,0
458,0
459,0
460,0
461,0
462,0
463,0
464,0
465,0
466,0
467,0
468,0
469,0
470,1
471,3
472,0
473,0
474,0
475,0
476,0
477,0
478,0
479,7
480,283
481,0
482,1
483,0
484,0
485,0
486,0
487,0
488,0
489,0
490,0
491,0
492,0
493,2
494,0
495,1
496,0
497,0
498,3
499,1
500,0
501,0
502,0
503,0
504,0
505,1
506,0
507,0
508,0
509,0
510,28
511,0
512,36
513,16
514,0
515,17
516,0
517,0
518,0
519,0
520,0
521,17
522,190
523,18
524,35
525,1
526,11
527,0
528,0
529,0
