ranking,star
1,5.0
2,5.0
3,4.5
4,4.5
5,5.0
6,5.0
7,5.0
8,4.5
9,3.5
10,5.0
11,5.0
12,4.5
14,5.0
15,5.0
16,4.5
17,5.0
18,4.5
19,4.5
20,5.0
21,4.0
22,4.5
23,4.5
24,5.0
25,5.0
26,4.5
27,5.0
28,4.5
29,5.0
30,4.5
31,4.5
32,5.0
33,4.5
34,5.0
35,5.0
36,5.0
37,4.5
38,4.5
39,5.0
40,4.5
41,5.0
42,4.5
43,3.5
44,5.0
45,4.5
46,5.0
51,4.5
52,4.5
53,4.5
54,4.5
55,5.0
56,4.0
57,4.5
58,5.0
59,4.5
60,5.0
62,4.5
63,5.0
64,5.0
65,4.5
66,5.0
67,4.5
68,4.5
69,4.5
70,5.0
71,5.0
72,4.5
73,5.0
74,4.5
75,4.0
76,4.0
77,4.5
78,5.0
79,5.0
80,4.0
82,5.0
83,5.0
84,5.0
85,4.0
87,4.5
88,5.0
89,5.0
90,5.0
91,4.5
92,4.5
93,4.5
94,5.0
95,4.5
96,4.5
97,4.0
98,4.5
99,4.5
100,5.0
101,5.0
102,5.0
103,5.0
104,5.0
105,5.0
106,4.5
107,4.5
108,4.5
109,4.0
110,3.0
111,5.0
112,5.0
114,4.5
115,5.0
116,4.5
117,4.5
120,4.5
121,5.0
122,5.0
123,4.5
124,4.5
125,4.5
126,3.5
127,4.5
128,4.0
129,5.0
130,4.5
131,5.0
132,4.5
133,5.0
134,5.0
135,4.5
137,4.5
138,5.0
139,5.0
140,4.5
141,5.0
142,5.0
144,4.0
145,4.5
146,4.5
147,5.0
148,4.5
149,4.5
150,5.0
151,4.5
152,4.5
153,5.0
154,5.0
155,4.5
156,4.5
157,4.5
158,4.5
159,5.0
160,4.5
161,4.5
162,5.0
163,4.5
164,4.5
165,5.0
167,4.5
169,5.0
170,5.0
171,3.5
172,4.5
173,4.5
174,4.5
175,4.0
176,5.0
177,4.5
178,4.5
179,4.5
181,4.5
182,5.0
185,4.0
186,4.0
187,5.0
188,5.0
189,5.0
190,4.5
191,5.0
192,5.0
193,5.0
194,4.5
195,5.0
196,5.0
197,5.0
202,4.0
203,5.0
204,4.5
205,5.0
206,3.5
207,5.0
208,3.5
209,5.0
210,5.0
211,5.0
212,4.5
213,4.5
214,5.0
215,4.5
217,5.0
218,4.5
219,5.0
220,2.0
221,4.5
222,4.5
223,5.0
224,5.0
225,4.0
